DATE,T10Y3M
1990-09-28,1.4320000000000000
1990-10-05,1.3280000000000000
1990-10-12,1.4775000000000000
1990-10-19,1.2960000000000000
1990-10-26,1.2080000000000000
1990-11-02,1.3020000000000000
1990-11-09,1.2260000000000000
1990-11-16,1.05000000000000000000
1990-11-23,1.01000000000000000000
1990-11-30,1.02200000000000000000
1990-12-07,0.94400000000000000000
1990-12-14,0.92400000000000000000
1990-12-21,1.16800000000000000000
1990-12-28,1.4700000000000000
1991-01-04,1.3350000000000000
1991-01-11,1.6740000000000000
1991-01-18,1.9080000000000000
1991-01-25,1.7375000000000000
1991-02-01,1.6640000000000000
1991-02-08,1.7060000000000000
1991-02-15,1.7440000000000000
1991-02-22,1.7450000000000000
1991-03-01,1.7820000000000000
1991-03-08,1.8620000000000000
1991-03-15,2.0440000000000000
1991-03-22,2.1180000000000000
1991-03-29,2.0900000000000000
1991-04-05,2.0980000000000000
1991-04-12,2.2700000000000000
1991-04-19,2.1860000000000000
1991-04-26,2.2580000000000000
1991-05-03,2.3360000000000000
1991-05-10,2.4020000000000000
1991-05-17,2.4940000000000000
1991-05-24,2.4700000000000000
1991-05-31,2.4200000000000000
1991-06-07,2.4440000000000000
1991-06-14,2.5600000000000000
1991-06-21,2.5520000000000000
1991-06-28,2.5760000000000000
1991-07-05,2.5325000000000000
1991-07-12,2.5780000000000000
1991-07-19,2.5180000000000000
1991-07-26,2.4880000000000000
1991-08-02,2.4680000000000000
1991-08-09,2.4140000000000000
1991-08-16,2.4200000000000000
1991-08-23,2.4200000000000000
1991-08-30,2.3340000000000000
1991-09-06,2.3200000000000000
1991-09-13,2.3160000000000000
1991-09-20,2.2620000000000000
1991-09-27,2.2300000000000000
1991-10-04,2.2280000000000000
1991-10-11,2.3160000000000000
1991-10-18,2.3450000000000000
1991-10-25,2.4980000000000000
1991-11-01,2.5280000000000000
1991-11-08,2.6720000000000000
1991-11-15,2.6125000000000000
1991-11-22,2.7620000000000000
1991-11-29,2.9050000000000000
1991-12-06,2.8060000000000000
1991-12-13,2.9360000000000000
1991-12-20,2.9940000000000000
1991-12-27,2.9425000000000000
1992-01-03,2.8150000000000000
1992-01-10,2.9220000000000000
1992-01-17,3.1320000000000000
1992-01-24,3.2700000000000000
1992-01-31,3.3160000000000000
1992-02-07,3.3340000000000000
1992-02-14,3.4480000000000000
1992-02-21,3.4650000000000000
1992-02-28,3.3200000000000000
1992-03-06,3.3080000000000000
1992-03-13,3.4180000000000000
1992-03-20,3.4680000000000000
1992-03-27,3.4280000000000000
1992-04-03,3.3660000000000000
1992-04-10,3.5080000000000000
1992-04-17,3.6675000000000000
1992-04-24,3.8060000000000000
1992-05-01,3.8020000000000000
1992-05-08,3.7880000000000000
1992-05-15,3.6600000000000000
1992-05-22,3.5960000000000000
1992-05-29,3.6000000000000000
1992-06-05,3.5460000000000000
1992-06-12,3.5580000000000000
1992-06-19,3.5160000000000000
1992-06-26,3.4640000000000000
1992-07-03,3.5100000000000000
1992-07-10,3.6180000000000000
1992-07-17,3.6640000000000000
1992-07-24,3.5740000000000000
1992-07-31,3.4120000000000000
1992-08-07,3.4140000000000000
1992-08-14,3.3400000000000000
1992-08-21,3.3520000000000000
1992-08-28,3.4400000000000000
1992-09-04,3.3620000000000000
1992-09-11,3.3500000000000000
1992-09-18,3.4340000000000000
1992-09-25,3.5220000000000000
1992-10-02,3.5820000000000000
1992-10-09,3.5520000000000000
1992-10-16,3.5650000000000000
1992-10-23,3.7640000000000000
1992-10-30,3.7620000000000000
1992-11-06,3.8000000000000000
1992-11-13,3.7300000000000000
1992-11-20,3.6020000000000000
1992-11-27,3.5450000000000000
1992-12-04,3.5360000000000000
1992-12-11,3.4500000000000000
1992-12-18,3.5120000000000000
1992-12-25,3.4325000000000000
1993-01-01,3.4700000000000000
1993-01-08,3.4980000000000000
1993-01-15,3.6160000000000000
1993-01-22,3.5275000000000000
1993-01-29,3.4740000000000000
1993-02-05,3.4120000000000000
1993-02-12,3.3880000000000000
1993-02-19,3.2575000000000000
1993-02-26,3.0060000000000000
1993-03-05,2.8800000000000000
1993-03-12,2.9180000000000000
1993-03-19,2.9900000000000000
1993-03-26,2.9940000000000000
1993-04-02,3.0960000000000000
1993-04-09,3.0900000000000000
1993-04-16,2.9980000000000000
1993-04-23,2.9960000000000000
1993-04-30,3.0400000000000000
